matchid,date,surface,player1_name,player2_name,target,elo_diff,surface_elo_diff,fatigue_diff,odds_diff,h2h_wins_diff,win_pct_3m_diff,dominance_roll_diff,recent_matches_30d_diff,days_since_last_diff,tournament_strength,ace_pct_diff,df_pct_diff,first_serve_pct_diff,first_serve_win_pct_diff,second_serve_win_pct_diff,bp_saved_pct_diff,avgw,avgl,implied_prob_w,implied_prob_l,model_prob_p1,model_prob_p2,implied_prob_p1,implied_prob_p2,prob_diff_p1,prob_diff_p2
22273,2024-01-03,Hard,Karen Khachanov,Emil Ruusuvuori,0,165.03,72.81,-34.0,-0.63,2,-8.34,7.96,-1,53,2,4.89,-3.13,-4.86,-3.42,-2.63,0.0,1.815,1.185,0.5509641873278237,0.8438818565400843,0.13446152,0.8655385,0.8438818565400843,0.5509641873278237,-0.7094203344377283,0.31457429056982034
22247,2024-01-03,Hard,Alexander Shevchenko,Holger Rune,0,-99.13,-56.26,-9.84,2.24,0,12.82,-6.41,0,1,2,-8.56,-0.35,-5.23,-2.86,-14.71,-13.33,2.62,0.3799999999999999,0.38167938931297707,2.6315789473684217,0.02955208,0.9704479,2.6315789473684217,0.38167938931297707,-2.6020268676312353,0.5887685085980947
22244,2024-01-03,Hard,James Duckworth,Yannick Hanfmann,1,-134.78,-79.88,-7.64,0.01,-2,57.14,4.89,0,0,2,8.71,0.27,14.8,2.0,3.22,-16.67,1.505,1.495,0.6644518272425249,0.6688963210702341,0.7208099,0.27919012,0.6644518272425249,0.6688963210702341,0.056358049676267785,-0.38970619798902684
22277,2024-01-04,Hard,Arthur Fils,Marc Andrea Huesler,1,262.37,71.27,4.58,-1.51,0,5.56,-5.93,0,0,2,-5.73,2.15,6.87,7.24,-0.28,-1.9,2.255,0.745,0.4434589800443459,1.342281879194631,0.8942912,0.10570878,0.4434589800443459,1.342281879194631,0.4508322420511436,-1.2365731012901204
22248,2024-01-04,Hard,Tomas Machac,Rinky Hijikata,0,-41.88,-36.76,19.17,-0.95,0,26.67,6.97,0,0,2,-3.84,-1.6,7.0,5.02,-14.64,-56.92,1.975,1.025,0.5063291139240506,0.9756097560975611,0.12664017,0.8733598,0.9756097560975611,0.5063291139240506,-0.8489695852849543,0.36703068546102025
22251,2024-01-04,Hard,Rafael Nadal,Jason Kubler,1,564.66,323.62,-11.25,-4.07,0,0.0,-5.9,0,0,2,6.52,0.0,-10.87,22.86,44.32,66.67,3.535,-0.5350000000000001,0.2828854314002829,-1.8691588785046724,0.9991315,0.0008684993,0.2828854314002829,-1.8691588785046724,0.7162460693206949,1.8700273777836947
22276,2024-01-04,Hard,Roberto Bautista Agut,Francisco Cerundolo,1,156.16,15.3,15.45,-1.44,1,-7.14,7.36,1,-61,2,-7.01,-5.0,10.15,8.63,-5.0,100.0,2.2199999999999998,0.78,0.4504504504504505,1.282051282051282,0.9950271,0.004972875,0.4504504504504505,1.282051282051282,0.5445766744312939,-1.2770784069330263
22278,2024-01-04,Hard,Liam Broady,Andrey Rublev,0,-506.43,-309.14,15.66,5.96,0,35.29,-7.87,1,-46,2,-10.1,-2.15,13.06,-12.22,-23.58,36.67,4.48,-1.48,0.2232142857142857,-0.6756756756756757,0.0053912424,0.99460876,-0.6756756756756757,0.2232142857142857,0.6810669181239162,0.7713944741657802
22275,2024-01-04,Hard,Jan Lennard Struff,Sebastian Ofner,0,164.57,232.11,26.04,-0.36,0,-5.56,7.16,0,0,2,-2.32,2.24,1.1,-4.89,-1.99,16.67,1.68,1.32,0.5952380952380952,0.7575757575757576,0.42737252,0.5726275,0.7575757575757576,0.5952380952380952,-0.33020324237418897,-0.022610610439663836
22250,2024-01-04,Hard,Grigor Dimitrov,Daniel Altmaier,1,386.98,142.16,-3.42,-4.7,2,35.71,1.83,0,1,2,8.51,-3.68,6.27,31.59,38.1,66.67,3.85,-0.8500000000000001,0.2597402597402597,-1.176470588235294,0.99964726,0.0003527403,0.2597402597402597,-1.176470588235294,0.7399069999719595,1.1768233285230747
22280,2024-01-05,Hard,Sebastian Ofner,Roberto Bautista Agut,1,-319.51,-314.99,14.69,1.41,0,5.56,0.8,0,0,2,36.84,-2.94,1.91,11.4,5.56,-66.67,2.205,0.795,0.4535147392290249,1.2578616352201257,0.9195107,0.08048928,0.4535147392290249,1.2578616352201257,0.46599598293131445,-1.177372357380465
22282,2024-01-05,Hard,Andrey Rublev,Arthur Fils,1,186.44,107.18,-19.55,-2.25,0,6.67,-3.66,-1,0,2,-0.74,-7.61,5.47,3.91,24.04,-3.33,2.625,0.375,0.38095238095238093,2.6666666666666665,0.9876511,0.01234889,0.38095238095238093,2.6666666666666665,0.6066987287430536,-2.654317776362101
22255,2024-01-05,Hard,Jordan Thompson,Rafael Nadal,1,-502.34,-194.25,-18.39,4.4,-2,-40.0,7.13,-1,0,2,0.86,0.9,-11.68,2.7,2.79,41.67,3.7,-0.7000000000000002,0.27027027027027023,-1.4285714285714282,0.6945506,0.30544943,0.27027027027027023,-1.4285714285714282,0.42428030355556595,1.734020854745592
22252,2024-01-05,Hard,Matteo Arnaldi,Roman Safiullin,0,100.55,124.19,-3.56,1.57,0,11.11,0.73,0,0,2,-7.98,-1.21,-5.28,-10.75,3.33,-4.17,2.285,0.715,0.437636761487965,1.3986013986013988,0.06597525,0.93402475,1.3986013986013988,0.437636761487965,-1.3326261497877696,0.49638798969840586
22253,2024-01-05,Hard,Holger Rune,James Duckworth,1,331.78,292.49,4.47,-3.88,0,-38.46,-2.72,0,0,2,13.51,-2.6,-10.85,25.33,-2.92,40.0,3.44,-0.43999999999999995,0.29069767441860467,-2.272727272727273,0.99545765,0.004542351,0.29069767441860467,-2.272727272727273,0.7047599748123523,2.277269623496316
22279,2024-01-05,Hard,Emil Ruusuvuori,Pavel Kotov,1,3.05,47.53,21.06,-0.69,0,-6.82,-3.79,0,0,2,1.82,-3.17,-13.53,8.33,3.82,50.0,1.845,1.155,0.5420054200542006,0.8658008658008658,0.9801609,0.019839108,0.5420054200542006,0.8658008658008658,0.4381554719555345,-0.8459617578106009
22281,2024-01-05,Hard,Juncheng Shang,Frances Tiafoe,1,-94.14,-91.77,51.69,2.22,-2,57.14,-4.72,1,0,2,-15.87,-1.72,-14.42,-6.35,29.31,25.0,2.6100000000000003,0.3899999999999999,0.38314176245210724,2.5641025641025648,0.93338394,0.06661606,0.38314176245210724,2.5641025641025648,0.5502421791982834,-2.4974865057529554
