Player,Overall Elo,Hard Elo,Clay Elo,Grass Elo,Last Match,Matches Last 6M,Career Matches,Avg Elo Faced,Matches vs Top 20,Winrate vs Top 20,Matches vs Top 50,Winrate vs Top 50
Darderi L.,1433.71,1350.74,1508.22,1491.44,2025-01-12,0,55,1484.62,1,0.0,6,0.0
Diallo G.,1414.52,1451.51,1487.71,1429.17,2025-01-16,0,23,1525.06,0,0.0,6,0.0
Fonseca J.,1372.78,1455.15,1373.15,1441.04,2025-01-16,0,14,1517.98,0,0.0,2,0.5
Shelbayh A.,1354.15,1392.99,1397.93,1397.09,2024-04-02,0,11,1488.29,0,0.0,0,0.0
Bonadio R.,1320.16,1320.16,1320.16,1320.16,2023-04-04,0,3,1460.8,0,0.0,0,0.0
Andreozzi G.,1335.05,1350.19,1345.18,1335.05,2024-07-22,0,4,1460.56,0,0.0,1,0.0
Meligeni Alves F.,1412.46,1434.89,1428.33,1433.24,2024-07-16,0,10,1507.35,0,0.0,1,0.0
Lalami Laaroussi Y.,1317.53,1317.53,1317.53,1317.53,2023-04-03,0,1,1449.21,0,0.0,0,0.0
Rocha H.,1333.34,1333.34,1333.34,1333.34,2024-07-18,0,4,1426.73,0,0.0,0,0.0
Moundir A.,1318.69,1318.69,1318.69,1318.69,2023-04-04,0,1,1477.12,0,0.0,0,0.0
Vacherot V.,1308.23,1308.23,1308.23,1308.23,2024-05-28,0,4,1569.74,0,0.0,1,0.0
Rincon D.,1301.89,1301.89,1301.89,1301.89,2024-04-15,0,3,1430.75,0,0.0,0,0.0
Napolitano S.,1361.0,1373.98,1384.8,1434.87,2024-07-16,0,7,1480.49,0,0.0,0,0.0
Marozsan F.,1524.2,1544.29,1511.35,1468.56,2025-01-18,0,73,1523.73,5,0.2,17,0.41
Lopez San Martin A.,1330.68,1330.68,1330.68,1330.68,2023-05-22,0,1,1509.14,0,0.0,0,0.0
Roca Batalla O.,1330.89,1330.89,1330.89,1330.89,2023-05-22,0,1,1548.45,0,0.0,0,0.0
Llamas Ruiz P.,1373.28,1370.56,1366.45,1373.28,2024-04-24,0,8,1510.58,0,0.0,3,0.0
Kypson P.,1352.3,1376.44,1338.68,1352.3,2024-04-01,0,8,1476.81,0,0.0,0,0.0
Olivieri G.,1362.2,1362.2,1362.2,1362.2,2023-06-03,0,3,1520.99,0,0.0,1,0.0
Mpetshi G.,1508.12,1482.82,1472.25,1447.68,2025-01-14,0,39,1546.32,1,0.0,6,0.67
Choinski J.,1344.41,1444.49,1383.7,1359.96,2024-08-26,0,9,1503.46,0,0.0,2,0.0
